ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
4253,2.0,3880,3559,5.656854152679443
4254,2.0,4036,3543,5.656854152679443
4255,542.0,4056,3546,135.05382299423218
4256,6.0,4037,3532,9.656854152679443
4257,9.0,4030,3532,12.485281229019165
4258,2.0,3732,3523,5.656854152679443
4259,121.5,3748,3529,58.041630148887634
4260,23.0,3734,3519,19.313708305358887
4261,31.0,3900,3508,24.14213538169861
4262,25.5,3895,3500,18.727921724319458
4263,109.5,3743,3502,56.041630029678345
4264,2.0,3740,3495,5.656854152679443
4265,536.0,3850,3502,171.33809280395508
4266,10.5,3884,3489,13.071067690849304
4267,11.5,3845,3487,13.899494647979736
4268,20.5,3894,3486,21.071067690849304
4269,4.0,3896,3481,7.656854152679443
4270,20.0,3848,3476,18.14213526248932
4271,7.0,3833,3474,10.485281229019165
4272,101.5,3931,3459,42.041629791259766
4273,2.0,3960,3445,5.656854152679443
4274,30.0,3913,3447,21.313708305358887
4275,98.0,3930,3439,41.455843567848206
4276,15.5,3950,3430,15.899494767189026
4277,391.0,3910,3411,153.19595777988434
4278,22.5,3932,3379,19.899494767189026
4279,2.0,3895,3362,5.656854152679443
4280,1004.5,3949,3394,359.6051187515259
4281,124.0,2783,3346,60.14213538169861
4282,104.5,118,3342,40.72792184352875
4283,8.5,2632,3338,11.41421353816986
4284,102.5,687,3342,38.72792184352875
4285,10541.0,3786,3402,538.9015820026398
4286,32.0,3740,3377,22.14213538169861
4287,2483.5,5659,3393,528.5168052911758
4288,10.0,5669,3411,11.656854152679443
4289,2.0,5671,3409,5.656854152679443
4290,8.5,5647,3358,11.071067690849304
4291,90.5,5650,3339,37.899494767189026
4292,11.0,5608,3336,12.828427076339722
4293,26.5,5591,3337,20.242640614509583
4294,1067.5,5579,3357,227.09545254707336
4295,5.5,5587,3353,9.071067690849304
4296,26.0,5312,3338,19.656854152679443
4297,35.0,4714,3337,26.485281229019165
4298,11.0,2738,3336,12.828427076339722
4299,271.5,2451,3341,78.87005698680878
4300,477.0,146,3352,139.74011433124542
4301,183.0,3969,3345,79.94112491607666
4302,740.5,3858,3349,147.98275518417358
4303,15.0,3848,3349,17.313708186149597
4304,1534.5,2141,3366,293.5218588113785
4305,5.5,2150,3363,9.071067690849304
4306,2.0,2148,3362,5.656854152679443
4307,11.0,2144,3360,14.485281229019165
4308,35.0,5896,3336,26.485281229019165
4309,6.0,5253,3334,10.0
4310,29.0,4644,3335,21.656854033470154
4311,27.0,4145,3335,19.656854152679443
4312,8.0,2786,3334,12.0
4313,18.0,2413,3335,15.656854152679443
4314,43.5,809,3336,25.071067690849304
4315,51.0,3983,3335,27.656854152679443
4316,5896.5,3615,3372,308.14927530288696
4317,942.5,2417,3351,186.26702547073364
4318,39.0,2427,3354,26.14213538169861
4319,26.5,117,3332,20.242640614509583
4320,6.0,5604,3330,10.0
4321,6.0,2401,3330,10.0
4322,147.0,217,3337,69.79898953437805
4323,30.5,141,3331,21.071067690849304
4324,196.5,889,3336,64.87005698680878
4325,352.5,4113,3333,97.35533833503723
4326,19.5,3751,3329,17.41421353816986
4327,11.0,1503,3328,12.828427076339722
4328,193.0,699,3333,55.455843925476074
4329,3625.5,181,3381,403.66399359703064
4330,2.0,179,3416,5.656854152679443
4331,4.0,5893,3326,8.0
4332,874.0,3170,3345,125.5391035079956
4333,77.0,2868,3329,33.31370830535889
4334,154.0,2360,3330,72.62741661071777
4335,11.5,4375,3325,13.41421353816986
4336,11.0,4165,3325,12.828427076339722
4337,526.0,3820,3335,102.42640602588654
4338,6.0,2395,3323,10.0
